VIVIENDA	HOGAR	NUMERO_ENCUESTA	SECUENCIA_ENCUESTA	SECUENCIA_PADRE	ORDEN	REL_NUMERO_ENCUESTA	REL_SECUENCIA_ENCUESTA	GSR_GMF_TIPO_MRCDO	GSR_GMF_VALOR_TOTAL_MRCDO	CODIGO_ENIG	FACTOR_EXPANSION_EC_E1
05965	01	145	2	1	2	14	1	96	16000	059650100	491.874358052525
10475	01	145	1	1	1	14	1	98	60000	104750100	486.694857471643
10484	01	145	3	1	3	14	1	97	84100	104840100	434.582611772445
26581	01	145	1	1	1	14	1	97	50000	265810100	957.830816820197
29277	01	145	3	1	3	14	1	97	25000	292770100	903.752898156753
32657	01	145	1	1	1	14	1	98	150000	326570100	1734.93017673633
33512	01	145	2	1	2	14	1	96	10000	335120100	533.27130196306
33697	01	145	1	1	1	14	1	95	60000	336970100	897.140153560871
36965	01	145	1	1	1	14	1	97	150000	369650100	1638.9391255886
37603	01	145	1	1	1	14	1	98	50000	376030100	533.27130196306
37623	01	145	1	1	1	14	1	95	30000	376230100	1459.10675579166
22465	01	145	1	1	1	14	1	98	200000	224650100	201.024839755637
22478	01	145	1	1	1	14	1	95	17500	224780100	267.352100634665
22483	01	145	2	1	2	14	1	96	60000	224830100	339.658138211664
10680	01	145	1	1	1	14	1	98	75000	106800100	1089.26883359158
11128	01	145	1	1	1	14	1	98	1000	111280100	352.01298024513
18549	01	145	1	1	1	14	1	97	60000	185490100	802.281941902888
18789	01	145	2	1	2	14	1	97	300000	187890100	1263.63820384201
21384	01	145	1	1	1	14	1	95	25000	213840100	
02732	01	145	2	1	2	14	1	96	5000	027320100	218.34588404541
02744	01	145	2	1	2	14	1	96	4500	027440100	209.553081318163
05231	01	145	1	1	1	14	1	98	50000	052310100	740.799096160746
26432	01	145	1	1	1	14	1	96	6000	264320100	1741.5801061176
26506	01	145	4	1	4	14	1	98	25000	265060100	350.573248531913
26578	01	145	4	1	4	14	1	98	20000	265780100	327.068897180722
22245	01	145	1	1	1	14	1	95	20000	222450100	595.917780915702
22300	01	145	2	1	2	14	1	96	15000	223000100	1086.98331599677
05238	01	145	1	1	1	14	1	98	48000	052380100	854.083492208693
06847	01	145	1	1	1	14	1	97	100000	068470100	
10481	01	145	1	1	1	14	1	98	50000	104810100	564.165608438258
26580	01	145	1	1	1	14	1	95	10000	265800100	586.079308344249
29615	01	145	2	1	2	14	1	96	40000	296150100	1358.91644334452
33426	01	145	2	1	2	14	1	96	10000	334260100	565.966867516877
33695	01	145	2	1	2	14	1	96	8000	336950100	874.953240722405
37279	01	145	1	1	1	14	1	95	25000	372790100	
37605	01	145	1	1	1	14	1	98	120000	376050100	410.778361053067
22338	01	145	1	1	1	14	1	98	40000	223380100	526.827499517546
22478	01	145	3	1	3	14	1	97	108000	224780100	267.352100634665
22484	01	145	2	1	2	14	1	96	45000	224840100	250.703068925125
11039	01	145	1	1	1	14	1	95	5000	110390100	737.690812952655
26506	01	145	3	1	3	14	1	97	34000	265060100	350.573248531913
26537	01	145	3	1	3	14	1	97	145000	265370100	901.808210059645
26566	01	145	1	1	1	14	1	98	70000	265660100	748.06341923681
26578	01	145	5	1	5	14	1	98	5600	265780100	327.068897180722
21476	01	145	1	1	1	14	1	97	150000	214760100	358.386041107169
22107	01	145	1	1	1	14	1	98	150000	221070100	1540.56690256175
22246	01	145	1	1	1	14	1	97	12000	222460100	394.950447006829
22253	01	145	2	1	2	14	1	97	2000	222530100	488.134705181777
22255	01	145	2	1	2	14	1	97	12000	222550100	623.833529910833
22323	01	145	1	1	1	14	1	98	25000	223230100	614.539883146884
22335	01	145	1	1	1	14	1	98	30000	223350100	526.827499517546
05237	01	145	1	1	1	14	1	98	50000	052370100	922.226006567876
37607	01	145	1	1	1	14	1	98	30000	376070100	526.172172986379
37609	02	145	2	2	1	14	2	98	45000	376090200	560.426402552384
37626	01	145	1	1	1	14	1	96	50000	376260100	1489.24079119408
22430	01	145	1	1	1	14	1	97	100000	224300100	319.037101417475
22476	01	145	3	1	3	14	1	97	94000	224760100	303.358359266573
22477	01	145	4	1	4	14	1	98	225700	224770100	242.732611432768
22479	01	145	1	1	1	14	1	95	35000	224790100	204.17412826935
22480	01	145	2	1	2	14	1	97	359300	224800100	215.769363441081
22484	01	145	1	1	1	14	1	95	53000	224840100	250.703068925125
22486	01	145	2	1	2	14	1	97	145400	224860100	276.144903361912
10685	01	145	1	1	1	14	1	98	72000	106850100	778.999738611305
11039	01	145	2	1	2	14	1	98	250000	110390100	737.690812952655
